Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Bryan Reynolds,PIT,OF,29,41,159,15,37,9,1,4,17,2,0,24,38,0,0,0,.233,.333,.377,.710
Shohei Ohtani,LAD,DH,29,40,159,33,56,15,1,11,27,9,0,21,34,0,2,0,.352,.423,.667,1.090
Teoscar Hernandez,LAD,OF,31,42,159,27,40,6,0,11,33,3,1,14,52,0,0,1,.252,.316,.497,.813
Juan Soto,NYY,OF,25,42,159,27,50,7,1,9,34,4,2,28,24,0,3,1,.314,.414,.541,.955
Lourdes Gurriel,ARI,OF,30,37,159,22,38,8,0,5,24,2,0,9,29,0,0,0,.239,.280,.384,.664
Ezequiel Tovar,COL,SS,22,39,158,16,42,9,1,4,15,3,1,8,54,2,1,2,.266,.308,.411,.719
Taylor Ward,LAA,OF,30,40,157,22,42,7,0,7,24,2,3,10,33,0,2,0,.268,.308,.446,.754
William Contreras,MIL,C,26,40,156,37,54,13,0,5,30,3,0,22,35,0,2,2,.346,.429,.526,.955
Yordan Alvarez,HOU,OF,26,40,156,23,40,6,0,8,20,0,0,15,29,0,2,3,.256,.330,.449,.779
Gunnar Henderson,BAL,SS,22,39,155,30,42,4,3,12,27,6,0,14,45,0,2,5,.271,.347,.568,.915
Willy Adames,MIL,SS,28,40,155,25,40,10,0,7,27,7,1,19,36,0,1,1,.258,.341,.458,.799
Anthony Rizzo,NYY,1B,34,41,155,22,41,5,0,7,22,0,0,13,33,0,0,4,.265,.337,.432,.769
Francisco Lindor,NYM,SS,30,39,154,23,33,8,0,7,21,4,2,13,27,0,2,2,.214,.281,.403,.684
Gleyber Torres,NYY,2B,27,42,154,17,32,4,0,2,10,3,1,16,41,1,1,2,.208,.289,.273,.562
