Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
1043477,Ha-Seong Kim,SD,SS,27,152,538,84,140,23,0,17,60,38,9,75,124,5,5,3,0.26,0.353,0.397,0.75,NL,['SD'],['NL'],[2023],218,401,0,100,Active,0
308960,Masataka Yoshida,BOS,OF,30,140,537,71,155,33,3,15,72,8,0,34,81,0,2,7,0.289,0.339,0.445,0.784,AL,['BOS'],['AL'],[2023],196,389,0,100,Active,0
888518,J.P. Crawford,SEA,SS,28,145,534,94,142,35,0,19,65,2,0,94,125,3,2,5,0.266,0.38,0.438,0.818,AL,['SEA'],['AL'],[2023],241,397,0,100,Active,0
28464,MJ Melendez,KC,C,24,148,533,65,125,29,5,16,56,6,4,62,170,0,4,3,0.235,0.317,0.397,0.714,AL,['KC'],['AL'],[2023],190,411,0,100,Active,0
53158,Marcell Ozuna,ATL,OF,32,144,530,84,145,29,1,40,100,0,0,57,134,0,2,3,0.274,0.347,0.558,0.905,NL,['ATL'],['NL'],[2023],205,388,0,100,Active,0
257744,Dominic Smith,WSH,1B,28,153,527,57,134,21,1,12,46,1,1,47,91,0,2,10,0.254,0.327,0.366,0.693,NL,['WSH'],['NL'],[2023],191,403,0,100,Active,0
308845,Daulton Varsho,TOR,C,27,158,527,65,116,23,3,20,61,16,7,45,135,1,3,4,0.22,0.286,0.388,0.673,AL,['TOR'],['AL'],[2023],165,415,0,100,Active,0
399490,Yandy Diaz,TB,3B,32,137,525,95,173,35,0,22,78,0,1,65,94,0,2,8,0.33,0.411,0.521,0.931,AL,['TB'],['AL'],[2023],246,360,0,100,Active,0
672372,Keibert Ruiz,WSH,C,25,136,523,55,136,24,0,18,67,1,1,31,58,0,2,6,0.26,0.308,0.409,0.717,NL,['WSH'],['NL'],[2023],173,393,0,100,Active,0
466971,Austin Hays,BAL,OF,28,144,520,76,143,36,2,16,67,5,1,38,141,0,5,3,0.275,0.327,0.444,0.771,AL,['BAL'],['AL'],[2023],184,380,0,100,Active,0
