Hashcode,Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,League,Teams,Leagues,AB,2B,3B,HBP,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days
656960,Kevin Herget,MIL,33,171,0,0,0,308.70000000000005,342,198,153,63,45,9,27,18,0,0,4.91,1.09,NL,"['TB', 'CIN', 'MIL']","['NL', 'AL']",1268.1000000000001,0,0,0,"[2022, 2023, 2024]",0.2665036674816626,405,926.1000000000001,7.78421052631579,0,100,Active,0
873540,Matt Bowman,ARI,32,90,0,0,0,129.6,90,63,90,63,27,0,0,0,0,36,2.45,0.82,AL,"['ARI', 'NYY', 'MIN']",['AL'],478.79999999999995,0,0,0,"[2022, 2023, 2024]",0.21465968586387435,153,388.79999999999995,6.02,0,100,Active,0
469871,Aaron Ashby,MIL,25,56,40,0,0,220.6,224,114,256,98,32,4,22,2,0,2,9.82,2.18,NL,['MIL'],['NL'],885.8,0,0,0,"[2022, 2023, 2024]",0.4208494208494209,322,661.8,17.567857142857143,0,100,Active,0
268215,Ryan Borucki,PIT,30,4736,128,0,0,4371.2,3456,1856,3840,960,640,384,0,0,0,1088,5.4,1.2,NL,"['PIT', 'TOR', 'SEA']","['NL', 'AL']",16569.6,0,0,0,"[2022, 2023, 2024]",0.2857142857142857,4416,13113.599999999999,3.701351351351351,0,100,Active,0
70623,Nick Nelson,PHI,28,459,18,0,0,687.5999999999999,666,360,693,342,18,36,18,9,0,27,5.4,1.8,NL,['PHI'],['NL'],2728.7999999999997,0,0,0,"[2022, 2023, 2024]",0.375,1008,2062.7999999999997,6.690196078431372,0,100,Active,0
552520,Sam Hentges,CLE,27,1044,0,0,0,1054.8,846,333,1170,342,45,54,36,9,18,207,0.0,0.3,AL,['CLE'],['AL'],4010.3999999999996,0,0,0,"[2022, 2023, 2024]",0.09090909090909091,1188,3164.3999999999996,4.168965517241379,0,100,Active,0
873227,Brock Burke,TEX,27,990,0,0,0,1298.7,1224,468,1323,306,207,108,72,0,63,189,15.0,3.33,AL,['TEX'],['AL'],5120.1,0,0,0,"[2022, 2023, 2024]",0.5260663507109005,1530,3896.1000000000004,5.480909090909091,0,100,Active,0
52017,Paul Sewald,ARI,33,8512,0,0,0,8140.8,5120,2624,9984,2688,1216,512,384,3520,640,512,3.0,1.0,AL,"['ARI', 'SEA']",['AL'],29542.4,0,0,0,"[2022, 2023, 2024]",0.25,7808,24422.4,3.786466165413534,0,100,Active,0
514935,Blake Treinen,LAD,35,16,0,0,0,16.0,2,2,20,2,2,2,2,0,0,6,0.0,0.0,AL,['LAD'],['AL'],50.0,0,0,0,"[2022, 2023, 2024]",0.0,4,48.0,3.25,0,100,Active,0
68334,Eduard Bazardo,SEA,28,1664,0,0,0,2201.6000000000004,1920,1088,1984,640,448,64,0,0,0,0,12.0,1.67,AL,"['SEA', 'BOS', 'BAL']",['AL'],8524.800000000001,0,0,0,"[2022, 2023, 2024]",0.3576017130620985,2560,6604.800000000001,5.5076923076923086,0,100,Active,0
155257,Jake Cousins,NYY,29,207,0,0,0,226.79999999999998,216,90,288,189,27,27,9,0,9,9,3.0,2.33,AL,"['NYY', 'MIL']","['AL', 'NL']",896.4,0,0,0,"[2022, 2023, 2024]",0.4371482176360225,405,680.4,5.243478260869566,0,100,Active,0
843598,Danny Young,NYM,29,832,0,0,0,1056.0,1280,256,1280,448,64,64,0,0,0,0,0.0,1.67,NL,"['NYM', 'SEA', 'ATL']","['NL', 'AL']",4448.0,0,0,0,"[2022, 2023, 2024]",0.3576017130620985,1728,3168.0,5.884615384615385,0,100,Active,0
1028036,Noah Davis,COL,27,90,54,0,0,306.0,459,306,270,144,72,0,36,0,0,0,9.0,1.67,NL,['COL'],['NL'],1377.0,0,0,0,"[2022, 2023, 2024]",0.3576017130620985,603,918.0,16.9,0,100,Active,0
838877,Josh Walker,NYM,29,34,0,0,0,26.0,26,18,30,14,4,0,2,0,0,2,0.0,0.67,NL,['NYM'],['NL'],104.0,0,0,0,"[2022, 2023, 2024]",0.18256130790190736,40,78.0,3.4705882352941178,0,100,Active,0
136438,Collin Snider,SEA,28,585,9,0,0,514.8000000000001,603,342,315,261,54,36,18,9,27,90,6.0,1.33,AL,"['SEA', 'KC']",['AL'],2147.4,0,0,0,"[2022, 2023, 2024]",0.3071593533487298,864,1544.4,4.116923076923077,0,100,Active,0
215525,Colin Selby,KC,26,46,10,0,0,54.0,62,52,60,34,8,4,4,0,6,4,6.0,1.33,AL,"['PIT', 'KC']","['AL', 'NL']",224.0,0,0,0,"[2022, 2023, 2024]",0.3071593533487298,96,162.0,5.608695652173913,0,100,Active,0
1043509,Grant Hartwig,NYM,26,60,0,0,0,76.2,70,42,62,34,8,10,4,0,0,4,6.0,1.0,NL,['NYM'],['NL'],298.6,0,0,0,"[2022, 2023, 2024]",0.25,104,228.60000000000002,5.543333333333334,0,100,Active,0
