Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Tyler Fitzgerald,SF,SS,27,10,32,3,7,2,0,2,5,2,0,2,10,0,0,0,.219,.265,.469,.734
Oneil Cruz,PIT,OF,26,9,32,7,8,1,0,1,4,3,0,7,8,0,1,0,.250,.375,.375,.750
Canaan Smith-Njigba,PIT,OF,26,15,32,3,4,1,1,0,5,1,0,4,16,0,1,0,.125,.216,.219,.435
Travis Blankenhorn,WAS,3B,28,10,31,2,5,0,0,1,1,0,0,6,6,0,0,0,.161,.297,.258,.555
Harrison Bader,CIN,OF,31,14,31,4,5,1,0,0,3,3,1,3,3,0,0,0,.161,.235,.194,.429
Oscar Mercado,STL,OF,30,20,31,3,9,3,0,0,5,2,1,1,4,0,0,0,.290,.313,.387,.700
Jorge Alfaro,COL,C,32,10,31,2,5,4,0,1,4,0,0,0,12,0,0,1,.161,.188,.387,.575
Ji Man Choi,SD,1B,34,16,31,3,2,1,0,0,2,0,0,8,8,0,1,1,.065,.268,.097,.365
Jose Tena,CLE,3B,24,18,31,2,7,2,0,0,3,0,0,3,13,0,0,0,.226,.294,.290,.584
Jasson Dominguez,NYY,OF,22,8,31,6,8,1,0,4,7,1,0,2,8,0,0,0,.258,.303,.677,.980
Jordan Lawlar,ARI,SS,23,14,31,2,4,0,0,0,0,1,1,2,11,0,0,1,.129,.206,.129,.335
Logan Porter,KC,C,30,11,31,4,6,1,0,1,3,0,0,5,11,1,0,1,.194,.324,.323,.647
Heston Kjerstad,BAL,OF,26,13,30,3,7,1,0,2,3,0,0,2,10,0,0,0,.233,.281,.467,.748
Kolten Wong,LAD,2B,34,20,30,4,9,0,0,2,8,2,1,2,7,0,1,1,.300,.353,.500,.853
Kyle Stowers,BAL,OF,27,14,30,1,2,0,0,0,0,0,0,3,12,0,0,0,.067,.152,.067,.219
Rodolfo Castro,PHI,2B,26,14,30,2,3,0,0,0,2,0,0,2,12,0,0,0,.100,.156,.100,.256
Nelson Velazquez,CHC,DH,26,13,29,8,7,2,0,3,6,0,0,3,8,0,0,0,.241,.313,.621,.934
Jon Singleton,MIL,1B,33,11,29,3,3,1,0,0,2,0,0,3,11,0,0,0,.103,.188,.138,.326
Tyler Heineman,TOR,C,34,19,29,4,8,1,1,0,3,0,0,7,7,0,0,1,.276,.432,.379,.811
Drew Millas,WAS,C,27,11,28,1,8,2,0,1,6,0,0,4,5,1,0,0,.286,.375,.464,.839
Kyle Garlick,MIN,OF,33,14,28,2,5,1,0,2,4,0,0,2,11,0,0,0,.179,.233,.429,.662
Edwin Rios,CHC,1B,31,18,28,3,2,1,0,1,2,0,0,5,16,0,0,1,.071,.235,.214,.449
Bligh Madris,HOU,OF,29,12,26,4,4,1,0,0,0,0,0,4,7,0,0,0,.154,.267,.192,.459
Darin Ruf,MIL,DH,39,11,26,2,5,1,0,0,0,0,0,4,7,0,0,0,.192,.300,.231,.531
Nathan Lukes,TOR,OF,31,29,26,4,5,1,1,0,2,0,0,4,9,0,1,0,.192,.290,.308,.598
Chris Owings,PIT,2B,33,11,25,0,4,0,0,0,0,0,0,0,12,0,0,0,.160,.160,.160,.320
