Hashcode,Player_Season_Key,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,Season,MLS,Salary,League,Teams,Leagues,Projection_Method,Trend_Years_Used,Years_Included,AB,2B,3B,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E,Age_Adjustment,Injury_Rate_Adj,Injury_Perf_Adj,Streak_Adjustment,Def_WAR,City,Mascot,Injury Description,Sim_WAR,AVG,SLG,OPS
650796,650796_2025,Clarke Schmidt,30,NYY,1.7,1,0,5.4,2,2,0,0,0,10.0,8,0,6,2,4,5,0,2.0,0,1.2,2026,2.148,2025000.0,AL,['NYY'],['AL'],Recent_Year,3,"[2023, 2024, 2025]",38.0,0,0,0.2857142857142857,0,30,0.0,0.0,41.51134105941405,Active,0,0,0,0,-0.0059,0.0,0.0,-0.013883256389198906,0.4168738658485125,NYY,,,0.8203759367888097,0.21052631578947367,0.3684210526315789,0.6541353383458646
306436,306436_2025,Brayan Bello,27,BOS,2.4,1,0,3.9375,3,3,0,0,0,16.0,13,0,7,2,3,9,0,0.0,0,1.0,2026,1.082,1166667.0,AL,['BOS'],['AL'],Trend,3,"[2023, 2024, 2025]",61.0,3,2,0.25,0,48,0.0,0.0,0.0,Active,0,0,0,0,0.0032,0.0,0.0,0.005470659964154589,-0.2453254780673415,BOS,,,1.4200909316526393,0.21311475409836064,0.4262295081967213,0.6762295081967213
174644,174644_2025,Hunter Brown,27,HOU,6.1,1,0,2.454545454545455,3,3,0,0,0,18.333333333333332,12,0,5,1,4,15,0,1.0,0,0.8727272727272728,2026,1.035,774500.0,AL,['HOU'],['AL'],Trend,3,"[2023, 2024, 2025]",67.0,1,0,0.22535211267605634,0,55,0.0,0.0,29.713234785755674,Active,0,0,0,0,0.0032,0.0,0.0,0.017451793846925533,1.236303172942649,HOU,,,3.665222583586412,0.1791044776119403,0.23880597014925373,0.46415808282531007
29188,29188_2025,Kyle Freeland,33,COL,1.3,0,1,5.108108108108109,3,3,0,0,0,12.333333333333332,15,0,7,2,2,10,0,0.0,0,1.3783783783783785,2026,6.144,15000000.0,NL,['COL'],['NL'],Recent_Year,3,"[2023, 2024, 2025]",52.0,6,0,0.3148148148148148,0,37,0.0,0.0,22.11555545886424,Active,0,0,0,0,-0.0944,0.0,0.0,0.020102373457459344,-1.0783568210206604,COL,,,0.7785668391001361,0.28846153846153844,0.5192307692307693,0.834045584045584
994305,994305_2025,Jameson Taillon,34,CHC,1.3,0,0,7.56,2,2,0,0,0,8.333333333333334,14,0,7,5,2,6,0,0.0,0,1.92,2026,7.11,18000000.0,NL,['CHC'],['NL'],Recent_Year,3,"[2023, 2024, 2025]",39.0,3,0,0.3902439024390244,0,25,0.0,0.0,10.537203032081614,Active,0,0,0,0,-0.1475,0.0,0.0,0.007696580215240505,0.2491345996144505,CHC,,,0.22508657281733957,0.358974358974359,0.8205128205128205,1.210756722951845
1002258,1002258_2025,Michael Lorenzen,34,KCR,0.4,0,1,2.7,2,2,0,0,0,10.0,9,0,3,3,1,13,0,0.0,0,1.0,2026,8.159,4500000.0,AL,"['PHI', 'KCR']","['NL', 'AL']",Trend,3,"[2023, 2024, 2025]",39.0,0,0,0.25,0,30,0.0,0.0,59.481817049336975,Active,0,0,0,0,-0.1475,0.0,0.0,0.001898373173224222,-1.051771371525589,KCR,,,0.24496346062717908,0.23076923076923078,0.46153846153846156,0.7115384615384616
848463,848463_2025,Eduardo Rodríguez,33,ARI,0.2,0,1,7.56,2,2,0,0,0,8.333333333333334,11,0,7,1,7,7,0,1.0,0,2.1599999999999997,2026,0.0,740000.0,NL,"['DET', 'ARI']","['AL', 'NL']",Recent_Year,3,"[2023, 2024, 2025]",36.0,2,1,0.4186046511627907,0,25,0.0,0.0,64.35012059404171,Active,0,0,0,0,-0.0944,0.0,0.0,-0.018816338301267777,-1.2308008460566893,ARI,,,0.04922248832382724,0.3055555555555556,0.5,0.9186046511627908
873132,873132_2025,Max Scherzer,41,TOR,0.2,1,1,1.8,2,2,0,0,0,10.0,4,0,2,1,1,6,0,0.0,0,0.5,2026,15.079,43333333.0,AL,"['TEX', 'TOR']",['AL'],Recent_Year,3,"[2023, 2024, 2025]",34.0,1,0,0.14285714285714285,0,30,0.0,0.0,22.91923921541884,Active,0,0,0,0,-0.8496,0.0,0.0,-0.0010326392401803263,-0.2425284066863991,TOR,,,0.31066651255408,0.11764705882352941,0.23529411764705882,0.37815126050420167
923977,923977_2025,Reid Detmers,26,LAA,1.3,1,0,0.0,5,0,0,0,0,4.0,6,0,0,0,0,4,0,0.0,0,1.5,2026,2.064,770000.0,AL,['LAA'],['AL'],Recent_Year,3,"[2023, 2024, 2025]",18.0,0,0,0.3333333333333333,0,12,0.0,0.0,0.0,Active,0,0,2,0,0.0072,0.0,0.0,-0.0007060796158999692,-0.362549225781992,LAA,,,0.65,0.3333333333333333,0.3333333333333333,0.6666666666666666
826126,826126_2025,Andrew Heaney,35,LAD,-0.2,0,3,5.7857142857142865,3,3,0,0,0,14.0,15,0,9,5,3,9,0,0.0,0,1.2857142857142858,2026,8.15,13000000.0,NL,"['TEX', 'LAD']","['AL', 'NL']",Trend,3,"[2023, 2024, 2025]",57.0,2,0,0.3,0,42,0.0,0.0,1.4864108464456507,Active,0,0,0,0,-0.2124,0.0,0.0,-0.006790328583263643,-0.2283849230165812,LAD,,,-0.36518838703084444,0.2631578947368421,0.5614035087719298,0.8614035087719298
90910,90910_2025,Seth Lugo,36,KCR,1.7,1,1,7.56,2,2,0,0,0,8.333333333333334,16,0,7,0,3,6,0,0.0,0,2.28,2026,7.082,15000000.0,AL,"['SDP', 'KCR']","['NL', 'AL']",Recent_Year,3,"[2023, 2024, 2025]",41.0,2,0,0.4318181818181818,0,25,0.0,0.0,85.47509544671139,Active,0,0,0,0,-0.2890999999999999,0.0,0.0,0.013457271278184033,1.017100854520564,KCR,,,1.144694111902473,0.3902439024390244,0.43902439024390244,0.8708425720620843
364129,364129_2025,Graham Ashcraft,28,CIN,0.3,0,0,3.0,4,0,0,0,0,3.0,2,0,1,0,1,2,0,0.0,0,1.0,2026,1.136,750000.0,NL,['CIN'],['NL'],Recent_Year,3,"[2023, 2024, 2025]",11.0,1,0,0.25,0,9,0.0,0.0,38.31520475032636,Active,0,0,0,0,0.0008,0.0,0.0,-0.0060818503827548,-1.632414893434721,CIN,,,0.15,0.18181818181818182,0.2727272727272727,0.5227272727272727
