Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
910945,JJ Bleday,OAK,OF,26,43,145,14,37,11,1,5,18,0,1,17,32,1,0,0,0.255,0.333,0.448,0.781,AL,['OAK'],['AL'],[2024],54,108,0,100,Active,0
708093,Spencer Steer,CIN,3B,26,41,145,21,36,10,1,4,29,11,1,23,27,0,1,4,0.248,0.366,0.413,0.778,NL,['CIN'],['NL'],[2024],63,113,0,100,Active,0
932438,Jung Hoo Lee,SF,OF,25,37,145,15,38,4,0,2,8,2,3,10,13,0,2,1,0.262,0.314,0.331,0.645,NL,['SF'],['NL'],[2024],49,108,0,100,Active,0
201413,Brenton Doyle,COL,OF,26,40,145,25,41,9,2,4,12,8,1,11,43,3,0,1,0.283,0.337,0.455,0.792,NL,['COL'],['NL'],[2024],53,105,0,100,Active,0
144411,Andrew Vaughn,CWS,1B,26,39,145,9,30,9,0,1,9,1,0,10,39,0,1,2,0.207,0.267,0.289,0.556,AL,['CWS'],['AL'],[2024],42,117,0,100,Active,0
940409,Elly De La Cruz,CIN,SS,22,41,145,32,38,7,1,9,21,25,4,21,54,0,0,3,0.262,0.366,0.51,0.876,NL,['CIN'],['NL'],[2024],62,110,0,100,Active,0
367817,Zach Neto,LAA,SS,23,41,143,13,34,8,0,3,13,6,3,9,43,0,0,1,0.238,0.287,0.356,0.643,AL,['LAA'],['AL'],[2024],44,110,0,100,Active,0
75895,Michael Conforto,SF,OF,31,38,143,19,40,7,1,7,20,0,1,11,32,0,0,0,0.28,0.331,0.489,0.82,NL,['SF'],['NL'],[2024],51,103,0,100,Active,0
1024355,Mitch Haniger,SEA,OF,33,39,142,16,28,5,0,5,20,0,0,12,46,0,1,0,0.197,0.259,0.338,0.597,AL,['SEA'],['AL'],[2024],40,114,0,100,Active,0
956850,Brandon Nimmo,NYM,OF,31,39,141,21,32,7,1,6,27,2,0,27,35,0,0,6,0.227,0.373,0.418,0.79,NL,['NYM'],['NL'],[2024],65,115,0,100,Active,0
898500,Orlando Arcia,ATL,SS,29,38,141,15,35,11,0,4,15,0,0,5,24,0,3,1,0.248,0.278,0.411,0.689,NL,['ATL'],['NL'],[2024],41,107,0,100,Active,0
376307,Jordan Westburg,BAL,2B,25,38,141,20,42,9,2,6,27,5,2,10,30,1,0,2,0.298,0.352,0.517,0.869,AL,['BAL'],['AL'],[2024],54,101,0,100,Active,0
858957,Abraham Toro,OAK,3B,27,40,141,21,41,8,1,4,17,2,1,8,29,0,0,4,0.291,0.346,0.446,0.792,AL,['OAK'],['AL'],[2024],53,104,0,100,Active,0
611858,Isaac Paredes,TB,3B,25,38,140,18,42,6,0,8,22,0,1,17,25,0,2,4,0.3,0.391,0.514,0.905,AL,['TB'],['AL'],[2024],63,102,0,100,Active,0
243460,Vinnie Pasquantino,KC,1B,26,40,140,21,35,12,0,5,25,0,0,19,18,0,5,1,0.25,0.343,0.442,0.785,AL,['KC'],['AL'],[2024],55,106,0,100,Active,0
53158,Marcell Ozuna,ATL,DH,33,38,140,24,46,7,0,12,40,0,0,20,34,0,0,0,0.329,0.412,0.635,1.047,NL,['ATL'],['NL'],[2024],66,94,0,100,Active,0
323342,Bryce Harper,PHI,1B,31,38,139,23,36,6,0,9,29,2,2,28,39,0,1,0,0.259,0.383,0.496,0.879,NL,['PHI'],['NL'],[2024],64,103,0,100,Active,0
16828,Jeff McNeil,NYM,2B,32,39,139,14,32,6,0,1,7,2,0,14,20,1,0,2,0.23,0.309,0.294,0.603,NL,['NYM'],['NL'],[2024],48,109,0,100,Active,0
777344,Matt Olson,ATL,1B,30,38,139,16,29,8,1,4,18,0,0,19,42,0,1,4,0.209,0.32,0.366,0.686,NL,['ATL'],['NL'],[2024],52,114,0,100,Active,0
875323,Andrew Benintendi,CWS,OF,29,36,139,10,27,3,0,3,14,1,1,6,30,0,1,0,0.194,0.227,0.28,0.507,AL,['CWS'],['AL'],[2024],33,112,0,100,Active,0
1041928,Will Smith,LAD,C,29,36,139,23,43,11,0,4,28,0,1,15,26,0,4,1,0.309,0.38,0.474,0.854,AL,['LAD'],['AL'],[2024],59,97,0,100,Active,0
348323,Ceddanne Rafaela,BOS,OF,23,41,139,17,29,8,2,3,22,4,3,5,40,1,3,1,0.209,0.241,0.359,0.6,AL,['BOS'],['AL'],[2024],35,111,0,100,Active,0
868055,Sal Frelick,MIL,OF,24,39,137,16,33,5,1,0,7,4,2,13,34,0,0,2,0.241,0.315,0.291,0.606,NL,['MIL'],['NL'],[2024],48,106,0,100,Active,0
864684,Trea Turner,PHI,SS,30,33,137,27,47,10,0,2,9,10,1,9,28,0,0,2,0.343,0.391,0.459,0.85,NL,['PHI'],['NL'],[2024],58,92,0,100,Active,0
296864,Joey Meneses,WSH,DH,32,35,136,7,29,4,0,1,19,1,0,12,29,0,3,2,0.213,0.286,0.264,0.55,NL,['WSH'],['NL'],[2024],43,109,0,100,Active,0
269378,Harold Ramirez,TB,DH,29,37,136,17,37,3,0,1,12,4,2,3,28,0,1,1,0.272,0.292,0.316,0.608,AL,['TB'],['AL'],[2024],41,100,0,100,Active,0
1020528,Elias Diaz,COL,C,33,37,136,15,41,8,0,3,21,0,0,7,26,0,2,3,0.301,0.349,0.426,0.774,NL,['COL'],['NL'],[2024],51,98,0,100,Active,0
194705,Alex Verdugo,NYY,OF,27,39,136,19,33,6,0,5,17,1,1,18,17,0,3,1,0.243,0.335,0.397,0.732,AL,['NYY'],['AL'],[2024],52,104,0,100,Active,0
747382,Jonah Heim,TEX,C,28,37,136,18,39,3,0,4,26,1,0,7,27,0,1,1,0.287,0.326,0.397,0.723,AL,['TEX'],['AL'],[2024],47,98,0,100,Active,0
1016599,Willi Castro,MIN,OF,27,40,136,19,37,10,3,3,14,5,4,10,39,0,1,3,0.272,0.335,0.455,0.79,AL,['MIN'],['AL'],[2024],50,102,0,100,Active,0
840637,Ty France,SEA,1B,29,38,136,14,33,6,0,3,13,0,0,9,36,0,1,2,0.243,0.299,0.352,0.651,AL,['SEA'],['AL'],[2024],44,105,0,100,Active,0
46074,Brice Turang,MIL,2B,24,39,136,19,40,10,0,2,14,16,0,13,21,1,1,1,0.294,0.36,0.411,0.77,NL,['MIL'],['NL'],[2024],54,97,0,100,Active,0
697928,Michael Busch,CHC,3B,26,40,135,21,34,7,1,7,20,1,1,13,53,0,3,1,0.252,0.322,0.474,0.796,NL,['CHC'],['NL'],[2024],48,102,0,100,Active,0
305969,Leody Taveras,TEX,OF,25,40,135,20,35,7,1,3,10,4,2,14,27,1,0,0,0.259,0.328,0.392,0.72,AL,['TEX'],['AL'],[2024],49,100,0,100,Active,0
30650,Amed Rosario,TB,SS,28,36,135,12,40,6,3,2,18,5,2,3,21,0,0,0,0.296,0.311,0.429,0.74,AL,['TB'],['AL'],[2024],43,95,0,100,Active,0
254799,J.T. Realmuto,PHI,C,33,34,135,21,37,6,1,5,15,1,2,10,38,0,1,1,0.274,0.328,0.444,0.772,NL,['PHI'],['NL'],[2024],48,99,0,100,Active,0
189508,Giancarlo Stanton,NYY,OF,34,36,135,18,31,6,0,8,20,0,0,10,50,0,0,0,0.23,0.282,0.451,0.733,AL,['NYY'],['AL'],[2024],41,104,0,100,Active,0
135609,Jared Triolo,PIT,3B,26,38,134,7,27,2,0,1,12,3,1,18,37,0,2,0,0.201,0.296,0.238,0.534,NL,['PIT'],['NL'],[2024],45,107,0,100,Active,0
