Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,WAR,salary,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
923059,David Peralta,LAD,OF,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,6500000.0,AL,['LAD'],['AL'],2024,0,0,0,100,Active,0
868653,Donovan Solano,MIN,2B,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,2000000.0,AL,['MIN'],['AL'],2024,0,0,0,100,Active,0
586723,Luis Rengifo,LAA,2B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,2300000.0,AL,['LAA'],['AL'],2024,0,0,0,100,Active,0
723630,Andrew McCutchen,PIT,OF,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,5000000.0,NL,['PIT'],['NL'],2024,0,0,0,100,Active,0
940409,Elly De La Cruz,CIN,SS,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,5231496.0,NL,['CIN'],['NL'],2024,0,0,0,100,Active,0
280595,Christopher Morel,CHC,OF,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,5696032.0,NL,['CHC'],['NL'],2024,0,0,0,100,Active,0
893139,Jon Berti,MIA,2B,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2100000.0,NL,['MIA'],['NL'],2024,0,0,0,100,Active,0
455767,Miguel Rojas,LAD,SS,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,4250000.0,AL,['LAD'],['AL'],2024,0,0,0,100,Active,0
925280,Yan Gomes,CHC,C,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,6000000.0,NL,['CHC'],['NL'],2024,0,0,0,100,Active,0
807428,Francisco Alvarez,NYM,C,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,5463764.0,NL,['NYM'],['NL'],2024,0,0,0,100,Active,0
84037,Riley Greene,DET,OF,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,727800.0,AL,['DET'],['AL'],2024,0,0,0,100,Active,0
75805,Brandon Lowe,TB,2B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,5250000.0,AL,['TB'],['AL'],2024,0,0,0,100,Active,0
318734,Alex Call,WSH,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,721800.0,NL,['WSH'],['NL'],2024,0,0,0,100,Active,0
839254,Alek Thomas,ARI,OF,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,735200.0,AL,['ARI'],['AL'],2024,0,0,0,100,Active,0
483921,Elvis Andrus,CWS,SS,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,3000000.0,AL,['CWS'],['AL'],2024,0,0,0,100,Active,0
852341,Anthony Rizzo,NYY,1B,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,17000000.0,AL,['NYY'],['AL'],2024,0,0,0,100,Active,0
32900,Jarred Kelenic,SEA,OF,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,729400.0,AL,['SEA'],['AL'],2024,0,0,0,100,Active,0
1009618,Alejandro Kirk,TOR,C,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,767300.0,AL,['TOR'],['AL'],2024,0,0,0,100,Active,0
140221,Connor Wong,BOS,C,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,722000.0,AL,['BOS'],['AL'],2024,0,0,0,100,Active,0
189508,Giancarlo Stanton,NYY,OF,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.76,32000000.0,AL,['NYY'],['AL'],2024,0,0,0,100,Active,0
539235,Sean Murphy,ATL,C,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,4000000.0,NL,['ATL'],['NL'],2024,0,0,0,100,Active,0
